longitude,latitude,housing_median_age,rooms,population,households,median_income,ocean_proximity,median_house_value
-122.27,37.8,16,"{total_rooms: 994, total_bedrooms: 392 }",800,362,2.0938,NEAR BAY,162500
-122.28,37.8,52,"{total_rooms: 215, total_bedrooms: 87 }",904,88,0.8668,NEAR BAY,137500
-122.28,37.8,52,"{total_rooms: 96, total_bedrooms: 31 }",191,34,0.75,NEAR BAY,162500
-122.27,37.79,27,"{total_rooms: 1055, total_bedrooms: 347 }",718,302,2.6354,NEAR BAY,187500
-122.27,37.8,39,"{total_rooms: 1715, total_bedrooms: 623 }",1327,467,1.8477,NEAR BAY,179200
-122.26,37.8,36,"{total_rooms: 5329, total_bedrooms: 2477 }",3469,2323,2.0096,NEAR BAY,130000
-122.26,37.82,31,"{total_rooms: 4596, total_bedrooms: 1331 }",2048,1180,2.8345,NEAR BAY,183800
-122.26,37.81,29,"{total_rooms: 335, total_bedrooms: 107 }",202,91,2.0062,NEAR BAY,125000
-122.26,37.82,22,"{total_rooms: 3682, total_bedrooms: 1270 }",2024,1250,1.2185,NEAR BAY,170000
-122.26,37.82,37,"{total_rooms: 3633, total_bedrooms: 1085 }",1838,980,2.6104,NEAR BAY,193100
-122.25,37.81,29,"{total_rooms: 4656, total_bedrooms: 1414 }",2304,1250,2.4912,NEAR BAY,257800
-122.25,37.81,28,"{total_rooms: 5806, total_bedrooms: 1603 }",2563,1497,3.2177,NEAR BAY,273400
-122.25,37.81,39,"{total_rooms: 854, total_bedrooms: 242 }",389,228,3.125,NEAR BAY,237500
-122.25,37.81,52,"{total_rooms: 2155, total_bedrooms: 701 }",895,613,2.5795,NEAR BAY,350000
-122.26,37.81,34,"{total_rooms: 5871, total_bedrooms: 1914 }",2689,1789,2.8406,NEAR BAY,335700
-122.24,37.82,52,"{total_rooms: 1509, total_bedrooms: 225 }",674,244,4.9306,NEAR BAY,313400
-122.24,37.81,52,"{total_rooms: 2026, total_bedrooms: 482 }",709,456,3.2727,NEAR BAY,268500
-122.25,37.81,52,"{total_rooms: 1758, total_bedrooms: 460 }",686,422,3.1691,NEAR BAY,259400
-122.24,37.82,52,"{total_rooms: 3481, total_bedrooms: 751 }",1444,718,3.9,NEAR BAY,275700
-122.25,37.82,28,"{total_rooms: 3337, total_bedrooms: 855 }",1520,802,3.9063,NEAR BAY,225000
-122.25,37.82,52,"{total_rooms: 1424, total_bedrooms: 289 }",550,253,5.0917,NEAR BAY,262500
-122.25,37.82,32,"{total_rooms: 3809, total_bedrooms: 1098 }",1806,1022,2.6429,NEAR BAY,218500
-122.25,37.82,26,"{total_rooms: 3959, total_bedrooms: 1196 }",1749,1217,3.0233,NEAR BAY,255000
-122.25,37.83,52,"{total_rooms: 2376, total_bedrooms: 559 }",939,519,3.1484,NEAR BAY,224100
-122.25,37.83,35,"{total_rooms: 1613, total_bedrooms: 428 }",675,422,3.4722,NEAR BAY,243100
-122.25,37.83,52,"{total_rooms: 1279, total_bedrooms: 287 }",534,291,3.1429,NEAR BAY,231600
-122.25,37.83,28,"{total_rooms: 5022, total_bedrooms: 1750 }",2558,1661,2.4234,NEAR BAY,218500
-122.25,37.83,52,"{total_rooms: 4190, total_bedrooms: 1105 }",1786,1037,3.0897,NEAR BAY,234100
-122.23,37.84,50,"{total_rooms: 2515, total_bedrooms: 399 }",970,373,5.8596,NEAR BAY,327600
-122.23,37.84,47,"{total_rooms: 3175, total_bedrooms: 454 }",1098,485,5.2868,NEAR BAY,347600
-122.24,37.83,41,"{total_rooms: 2576, total_bedrooms: 406 }",794,376,5.956,NEAR BAY,366100
-122.24,37.85,37,"{total_rooms: 334, total_bedrooms: 54 }",98,47,4.9643,NEAR BAY,335000
-122.23,37.85,52,"{total_rooms: 2800, total_bedrooms: 411 }",1061,403,6.3434,NEAR BAY,373600
-122.24,37.84,52,"{total_rooms: 3529, total_bedrooms: 574 }",1177,555,5.1773,NEAR BAY,389500
-122.24,37.85,52,"{total_rooms: 2612, total_bedrooms: 365 }",901,367,7.2354,NEAR BAY,391100
-122.22,37.85,28,"{total_rooms: 5287, total_bedrooms: 1048 }",2031,956,5.457,NEAR BAY,337300
-122.22,37.84,50,"{total_rooms: 2935, total_bedrooms: 473 }",1031,479,7.5,NEAR BAY,295200
-122.21,37.84,44,"{total_rooms: 3424, total_bedrooms: 597 }",1358,597,6.0194,NEAR BAY,292300
-122.21,37.83,40,"{total_rooms: 4991, total_bedrooms: 674 }",1616,654,7.5544,NEAR BAY,411500
-122.2,37.84,30,"{total_rooms: 2211, total_bedrooms: 346 }",844,343,6.0666,NEAR BAY,311500
-122.21,37.84,34,"{total_rooms: 3038, total_bedrooms: 490 }",1140,496,7.0548,NEAR BAY,325900
-122.19,37.84,18,"{total_rooms: 1617, total_bedrooms: 210 }",533,194,11.6017,NEAR BAY,392600
-122.2,37.84,35,"{total_rooms: 2865, total_bedrooms: 460 }",1072,443,7.4882,NEAR BAY,319300
-122.21,37.83,34,"{total_rooms: 5065, total_bedrooms: 788 }",1627,766,6.8976,NEAR BAY,333300
-122.19,37.83,28,"{total_rooms: 1326, total_bedrooms: 184 }",463,190,8.2049,NEAR BAY,335200
-122.2,37.83,26,"{total_rooms: 1589, total_bedrooms: 223 }",542,211,8.401,NEAR BAY,351200
-122.19,37.83,29,"{total_rooms: 1791, total_bedrooms: 271 }",661,269,6.8538,NEAR BAY,368900
-122.19,37.82,32,"{total_rooms: 1835, total_bedrooms: 264 }",635,263,8.317,NEAR BAY,365900
-122.2,37.82,37,"{total_rooms: 1229, total_bedrooms: 181 }",420,176,7.0175,NEAR BAY,366700
-122.2,37.82,39,"{total_rooms: 3770, total_bedrooms: 534 }",1265,500,6.3302,NEAR BAY,362800
-122.18,37.81,30,"{total_rooms: 292, total_bedrooms: 38 }",126,52,6.3624,NEAR BAY,483300
-122.21,37.82,52,"{total_rooms: 2375, total_bedrooms: 333 }",813,350,7.0549,NEAR BAY,331400
-122.2,37.81,45,"{total_rooms: 2964, total_bedrooms: 436 }",1067,426,6.7851,NEAR BAY,323500
-122.21,37.8,50,"{total_rooms: 2833, total_bedrooms: 605 }",1260,552,2.8929,NEAR BAY,216700
-122.21,37.8,38,"{total_rooms: 2254, total_bedrooms: 535 }",951,487,3.0812,NEAR BAY,233100
-122.21,37.81,52,"{total_rooms: 1389, total_bedrooms: 212 }",510,224,5.2402,NEAR BAY,296400
-122.22,37.81,52,"{total_rooms: 1971, total_bedrooms: 335 }",765,308,6.5217,NEAR BAY,273700
-122.22,37.8,52,"{total_rooms: 2183, total_bedrooms: 465 }",1129,460,3.2632,NEAR BAY,227700
-122.22,37.8,52,"{total_rooms: 2286, total_bedrooms: 464 }",1073,441,3.0298,NEAR BAY,199600
-122.22,37.8,52,"{total_rooms: 2721, total_bedrooms: 541 }",1185,515,4.5428,NEAR BAY,239800
-122.22,37.81,52,"{total_rooms: 2024, total_bedrooms: 339 }",756,340,4.072,NEAR BAY,270100
-122.22,37.81,52,"{total_rooms: 2944, total_bedrooms: 536 }",1034,521,5.3509,NEAR BAY,302100
-122.23,37.8,52,"{total_rooms: 2033, total_bedrooms: 486 }",787,459,3.1603,NEAR BAY,269500
-122.23,37.81,52,"{total_rooms: 1433, total_bedrooms: 229 }",612,213,4.7708,NEAR BAY,314700
-122.22,37.81,52,"{total_rooms: 2927, total_bedrooms: 402 }",1021,380,8.1564,NEAR BAY,390100
-122.23,37.81,52,"{total_rooms: 2315, total_bedrooms: 292 }",861,258,8.8793,NEAR BAY,410300
-122.24,37.81,52,"{total_rooms: 2485, total_bedrooms: 313 }",953,327,6.8591,NEAR BAY,352400
-122.24,37.81,52,"{total_rooms: 1490, total_bedrooms: 238 }",634,256,6.0302,NEAR BAY,287300
-122.23,37.81,52,"{total_rooms: 2814, total_bedrooms: 365 }",878,352,7.508,NEAR BAY,348700
-122.24,37.81,52,"{total_rooms: 2093, total_bedrooms: 550 }",918,483,2.7477,NEAR BAY,243800
-122.24,37.8,52,"{total_rooms: 888, total_bedrooms: 168 }",360,175,2.1944,NEAR BAY,211500
-122.25,37.8,52,"{total_rooms: 2087, total_bedrooms: 510 }",1197,488,3.0149,NEAR BAY,218400
-122.24,37.81,52,"{total_rooms: 2513, total_bedrooms: 502 }",1048,518,3.675,NEAR BAY,269900
-122.25,37.81,46,"{total_rooms: 3232, total_bedrooms: 835 }",1373,747,3.225,NEAR BAY,218800
-122.25,37.8,42,"{total_rooms: 4120, total_bedrooms: 1065 }",1715,1015,2.9345,NEAR BAY,225000
-122.25,37.8,43,"{total_rooms: 2364, total_bedrooms: 792 }",1359,722,2.1429,NEAR BAY,250000
-122.25,37.8,41,"{total_rooms: 1471, total_bedrooms: 469 }",1062,413,1.6121,NEAR BAY,171400
-122.25,37.8,29,"{total_rooms: 2468, total_bedrooms: 864 }",1335,773,1.3929,NEAR BAY,193800
-122.24,37.79,27,"{total_rooms: 1632, total_bedrooms: 492 }",1171,429,2.3173,NEAR BAY,125000
-122.25,37.79,45,"{total_rooms: 1786, total_bedrooms: 526 }",1475,460,1.7772,NEAR BAY,97500
-122.25,37.79,50,"{total_rooms: 629, total_bedrooms: 188 }",742,196,2.6458,NEAR BAY,125000
-122.25,37.79,52,"{total_rooms: 1339, total_bedrooms: 391 }",1086,363,2.181,NEAR BAY,138800
-122.25,37.8,36,"{total_rooms: 1678, total_bedrooms: 606 }",1645,543,2.2303,NEAR BAY,116700
-122.25,37.8,43,"{total_rooms: 2344, total_bedrooms: 647 }",1710,644,1.6504,NEAR BAY,151800
-122.24,37.8,52,"{total_rooms: 996, total_bedrooms: 228 }",731,228,2.2697,NEAR BAY,127000
-122.24,37.8,52,"{total_rooms: 1591, total_bedrooms: 373 }",1118,347,2.1563,NEAR BAY,128600
-122.24,37.8,52,"{total_rooms: 1586, total_bedrooms: 398 }",1006,335,2.1348,NEAR BAY,140600
-122.24,37.8,47,"{total_rooms: 2046, total_bedrooms: 588 }",1213,554,2.6292,NEAR BAY,182700
-122.23,37.8,52,"{total_rooms: 1192, total_bedrooms: 289 }",772,257,2.3833,NEAR BAY,146900
-122.24,37.8,52,"{total_rooms: 1803, total_bedrooms: 420 }",1321,401,2.957,NEAR BAY,122800
-122.24,37.8,49,"{total_rooms: 2838, total_bedrooms: 749 }",1487,677,2.5238,NEAR BAY,169300
-122.23,37.8,52,"{total_rooms: 783, total_bedrooms: 184 }",488,186,1.9375,NEAR BAY,126600
-122.23,37.8,51,"{total_rooms: 1590, total_bedrooms: 414 }",949,392,1.9028,NEAR BAY,127900
-122.23,37.8,50,"{total_rooms: 1746, total_bedrooms: 480 }",1149,415,2.25,NEAR BAY,123500
-122.23,37.8,52,"{total_rooms: 1252, total_bedrooms: 299 }",844,280,2.3929,NEAR BAY,111900
-122.23,37.79,43,"{total_rooms: 5963, total_bedrooms: 1344 }",4367,1231,2.1917,NEAR BAY,112800
-122.23,37.79,52,"{total_rooms: 1783, total_bedrooms: 395 }",1659,412,2.9357,NEAR BAY,107900
-122.23,37.79,30,"{total_rooms: 999, total_bedrooms: 264 }",1011,263,1.8854,NEAR BAY,137500
-122.24,37.79,39,"{total_rooms: 1469, total_bedrooms: 431 }",1464,389,2.1638,NEAR BAY,105500
-122.24,37.79,47,"{total_rooms: 1372, total_bedrooms: 395 }",1237,303,2.125,NEAR BAY,95500
-122.24,37.79,52,"{total_rooms: 674, total_bedrooms: 180 }",647,168,3.375,NEAR BAY,116100
-122.24,37.79,43,"{total_rooms: 1626, total_bedrooms: 376 }",1284,357,2.2542,NEAR BAY,112200
-122.25,37.79,51,"{total_rooms: 175, total_bedrooms: 43 }",228,55,2.1,NEAR BAY,75000
-122.25,37.79,39,"{total_rooms: 461, total_bedrooms: 129 }",381,123,1.6,NEAR BAY,112500
-122.25,37.79,52,"{total_rooms: 902, total_bedrooms: 237 }",846,227,3.625,NEAR BAY,125000
-122.26,37.8,20,"{total_rooms: 2373, total_bedrooms: 779 }",1659,676,1.6929,NEAR BAY,115000
-122.22,37.77,52,"{total_rooms: 391, total_bedrooms: 128 }",520,138,1.6471,NEAR BAY,95000
-122.22,37.77,52,"{total_rooms: 1137, total_bedrooms: 301 }",866,259,2.59,NEAR BAY,96400
-122.23,37.77,52,"{total_rooms: 769, total_bedrooms: 206 }",612,183,2.57,NEAR BAY,72000
-122.23,37.78,52,"{total_rooms: 472, total_bedrooms: 146 }",415,126,2.6429,NEAR BAY,71300
-122.23,37.78,52,"{total_rooms: 862, total_bedrooms: 215 }",994,213,3.0257,NEAR BAY,80800
-122.22,37.78,50,"{total_rooms: 1920, total_bedrooms: 530 }",1525,477,1.4886,NEAR BAY,128800
-122.23,37.78,43,"{total_rooms: 1420, total_bedrooms: 472 }",1506,438,1.9338,NEAR BAY,112500
-122.23,37.78,52,"{total_rooms: 986, total_bedrooms: 258 }",1008,255,1.4844,NEAR BAY,119400
-122.23,37.78,44,"{total_rooms: 2340, total_bedrooms: 825 }",2813,751,1.6009,NEAR BAY,118100
-122.23,37.79,48,"{total_rooms: 1696, total_bedrooms: 396 }",1481,343,2.0375,NEAR BAY,122500
-122.23,37.79,49,"{total_rooms: 1175, total_bedrooms: 217 }",859,219,2.293,NEAR BAY,106300
-122.22,37.79,37,"{total_rooms: 2343, total_bedrooms: 574 }",1608,523,2.1494,NEAR BAY,132500
-122.23,37.79,30,"{total_rooms: 610, total_bedrooms: 145 }",425,140,1.6198,NEAR BAY,122700
-122.23,37.79,40,"{total_rooms: 930, total_bedrooms: 199 }",564,184,1.3281,NEAR BAY,113300
-122.22,37.79,44,"{total_rooms: 1487, total_bedrooms: 314 }",961,272,3.5156,NEAR BAY,109500
-122.22,37.79,52,"{total_rooms: 3424, total_bedrooms: 690 }",2273,685,3.9048,NEAR BAY,164700
-122.21,37.79,52,"{total_rooms: 762, total_bedrooms: 190 }",600,195,3.0893,NEAR BAY,125000
-122.22,37.79,46,"{total_rooms: 2366, total_bedrooms: 575 }",1647,527,2.6042,NEAR BAY,124700
-122.22,37.79,49,"{total_rooms: 1826, total_bedrooms: 450 }",1201,424,2.5,NEAR BAY,136700
-122.22,37.79,38,"{total_rooms: 3049, total_bedrooms: 711 }",2167,659,2.7969,NEAR BAY,141700
-122.2,37.79,29,"{total_rooms: 1640, total_bedrooms: 376 }",939,340,2.8321,NEAR BAY,150000
-122.21,37.79,47,"{total_rooms: 1543, total_bedrooms: 307 }",859,292,2.9583,NEAR BAY,138800
-122.21,37.79,34,"{total_rooms: 2364, total_bedrooms: 557 }",1517,516,2.8365,NEAR BAY,139200
-122.21,37.79,35,"{total_rooms: 1745, total_bedrooms: 409 }",1143,386,2.875,NEAR BAY,143800
-122.21,37.8,39,"{total_rooms: 2003, total_bedrooms: 500 }",1109,464,3.0682,NEAR BAY,156500
-122.21,37.8,39,"{total_rooms: 2018, total_bedrooms: 447 }",1221,446,3.0757,NEAR BAY,151000
-122.2,37.8,43,"{total_rooms: 3045, total_bedrooms: 499 }",1115,455,4.9559,NEAR BAY,273000
-122.2,37.8,52,"{total_rooms: 1547, total_bedrooms: 293 }",706,268,4.7721,NEAR BAY,217100
-122.21,37.8,52,"{total_rooms: 3519, total_bedrooms: 711 }",1883,706,3.4861,NEAR BAY,187100
-122.2,37.8,41,"{total_rooms: 2070, total_bedrooms: 354 }",804,340,5.1184,NEAR BAY,239600
-122.21,37.8,48,"{total_rooms: 1321, total_bedrooms: 263 }",506,252,4.0977,NEAR BAY,229700
-122.19,37.8,48,"{total_rooms: 1694, total_bedrooms: 259 }",610,238,4.744,NEAR BAY,257300
-122.19,37.8,46,"{total_rooms: 1938, total_bedrooms: 341 }",768,332,4.2727,NEAR BAY,246900
-122.19,37.79,50,"{total_rooms: 968, total_bedrooms: 195 }",462,184,2.9844,NEAR BAY,179900
-122.2,37.79,40,"{total_rooms: 1060, total_bedrooms: 256 }",667,235,4.1739,NEAR BAY,169600
-122.2,37.8,46,"{total_rooms: 2041, total_bedrooms: 405 }",1059,399,3.8487,NEAR BAY,203300
-122.19,37.8,52,"{total_rooms: 1813, total_bedrooms: 271 }",637,277,4.0114,NEAR BAY,263400
-122.19,37.79,45,"{total_rooms: 2718, total_bedrooms: 451 }",1106,454,4.6563,NEAR BAY,231800
-122.19,37.79,28,"{total_rooms: 3144, total_bedrooms: 761 }",1737,669,2.9297,NEAR BAY,140500
-122.2,37.79,35,"{total_rooms: 1802, total_bedrooms: 459 }",1009,390,2.3036,NEAR BAY,126000
-122.2,37.79,49,"{total_rooms: 882, total_bedrooms: 195 }",737,210,2.6667,NEAR BAY,122000
-122.2,37.79,44,"{total_rooms: 1621, total_bedrooms: 452 }",1354,491,2.619,NEAR BAY,134700
-122.21,37.79,45,"{total_rooms: 2115, total_bedrooms: 533 }",1530,474,2.4167,NEAR BAY,139400
-122.2,37.79,45,"{total_rooms: 2021, total_bedrooms: 528 }",1410,480,2.7788,NEAR BAY,115400
-122.21,37.78,46,"{total_rooms: 2239, total_bedrooms: 508 }",1390,569,2.7352,NEAR BAY,137300
-122.21,37.78,52,"{total_rooms: 1477, total_bedrooms: 300 }",1065,269,1.8472,NEAR BAY,137000
-122.21,37.78,52,"{total_rooms: 1056, total_bedrooms: 224 }",792,245,2.6583,NEAR BAY,142600
-122.21,37.78,49,"{total_rooms: 898, total_bedrooms: 244 }",779,245,3.0536,NEAR BAY,137500
-122.22,37.78,44,"{total_rooms: 2968, total_bedrooms: 710 }",2269,610,2.3906,NEAR BAY,111700
-122.21,37.78,43,"{total_rooms: 1702, total_bedrooms: 460 }",1227,407,1.7188,NEAR BAY,126800
-122.21,37.78,47,"{total_rooms: 881, total_bedrooms: 248 }",753,241,2.625,NEAR BAY,111300
-122.22,37.77,40,"{total_rooms: 494, total_bedrooms: 114 }",547,135,2.8015,NEAR BAY,114800
